iter	RMSE
0	205621.5719
1	205211.8838
2	204759.8541
3	204313.0149
4	203716.3001
5	203261.0565
6	202809.5676
7	202315.4785
8	201889.0741
9	201285.2757
10	200843.9921
11	200469.6031
12	200021.4338
13	199515.5639
14	199114.4983
15	198660.3128
16	198325.2289
17	197936.8886
18	197600.1292
19	197232.5556
20	196800.71
21	196293.0346
22	195988.2087
23	195500.2561
24	195114.8461
25	194641.0436
26	194314.1799
27	193937.4338
28	193582.7974
29	193246.7118
30	192972.2024
31	192666.6166
32	192340.1552
33	191943.0733
34	191500.7437
35	191145.4213
36	190779.6636
37	190481.8063
38	190052.7215
39	189781.8247
40	189506.0278
41	189145.6323
42	188738.8249
43	188442.7642
44	188183.9302
45	187904.1031
46	187562.5403
47	187214.7856
48	186879.0394
49	186513.1633
50	186207.2734
51	185910.1655
52	185656.8961
53	185416.6992
54	185142.4788
55	184864.4434
56	184587.9992
57	184300.7947
58	184027.9781
59	183758.8845
60	183525.914
61	183260.6472
62	183052.4526
63	182823.397
64	182601.6907
65	182371.2603
66	182147.0586
67	181915.4857
68	181753.3302
69	181534.7979
70	181359.3474
71	181091.765
72	180842.1447
73	180584.8518
74	180287.6356
75	180085.0703
76	179834.2116
77	179641.0853
78	179386.8422
79	179190.2462
80	178942.89
81	178750.332
82	178575.9188
83	178354.2369
84	178130.3797
85	177858.8166
86	177659.0513
87	177459.5933
88	177320.9977
89	177090.2679
90	176855.6192
91	176540.3051
92	176325.8798
93	176044.0935
94	175812.9108
95	175618.6895
96	175437.1669
97	175244.3236
98	175113.7242
99	174970.1198
100	174772.001
101	174612.0798
102	174343.6803
103	174163.9208
104	173960.6466
105	173730.9121
106	173577.8097
107	173358.2443
108	173154.2203
109	172928.7004
110	172754.2515
111	172563.1727
112	172358.0969
113	172175.7644
114	172031.5768
115	171864.4995
116	171731.506
117	171549.5799
118	171395.3608
119	171260.679
120	171107.2759
121	170961.7272
122	170824.786
123	170615.39
124	170376.4154
125	170223.9653
126	170008.7396
127	169819.6449
128	169633.3417
129	169510.5916
130	169379.1292
131	169223.3578
132	169114.1983
133	169036.2998
134	168865.4261
135	168762.527
136	168621.2557
137	168495.0246
138	168372.5107
139	168236.611
140	168090.5054
141	168001.9911
142	167845.4964
143	167711.5964
144	167528.1038
145	167392.2245
146	167248.5098
147	167081.2269
148	166938.5273
149	166754.3887
150	166628.49
151	166459.6163
152	166286.3876
153	166122.8185
154	165983.9337
155	165839.3041
156	165646.8086
157	165513.5616
158	165397.12
159	165271.2925
160	165102.5404
161	164966.5972
162	164821.0273
163	164689.1527
164	164514.6424
165	164308.7848
166	164204.3198
167	164068.0276
168	163948.7973
169	163860.1531
170	163738.801
171	163648.2299
172	163559.2328
173	163481.5485
174	163420.4066
175	163310.4711
176	163247.6317
177	163147.5292
178	162982.6338
179	162882.3002
180	162812.6825
181	162680.4156
182	162547.7272
183	162475.1401
184	162391.498
185	162320.0711
186	162210.348
187	162027.0335
188	161897.8456
189	161815.2542
190	161739.6825
191	161667.4227
192	161456.0437
193	161361.7999
194	161213.6293
195	161151.7963
196	161057.6805
197	160956.9589
198	160847.9154
199	160761.2381
200	160672.25
201	160592.5156
202	160485.5225
203	160399.92
204	160314.4301
205	160207.2061
206	160182.9126
207	160098.2561
208	159992.5344
209	159925.728
210	159812.4185
211	159695.0307
212	159599.273
213	159514.7634
214	159394.8512
215	159286.75
216	159184.8177
217	159082.6076
218	158994.3244
219	158915.6345
220	158841.0438
221	158724.3093
222	158671.4085
223	158560.496
224	158478.7789
225	158364.703
226	158344.1713
227	158294.3264
228	158173.273
229	158094.9171
230	157996.1939
231	157874.3818
232	157790.0475
233	157694.4392
234	157635.0837
235	157587.5714
236	157465.5066
237	157346.0995
238	157257.9184
239	157175.5941
240	157071.2585
241	156935.0021
242	156808.9482
243	156728.8378
244	156667.0534
245	156604.5065
246	156499.0825
247	156410.61
248	156329.5314
249	156306.0002
250	156208.052
251	156065.7497
252	156019.3393
253	155950.2491
254	155880.2585
255	155857.7719
256	155754.1734
257	155687.4171
258	155632.6357
259	155565.1239
260	155490.619
261	155387.5068
262	155323.6652
263	155226.4879
264	155155.2314
265	155111.1131
266	154997.0693
267	154942.3654
268	154868.6094
269	154834.4581
270	154772.7422
271	154665.7744
272	154604.134
273	154570.1782
274	154480.4606
275	154422.4622
276	154346.5046
277	154240.7035
278	154177.637
279	154126.4198
280	154041.5165
281	153997.5842
282	153884.4518
283	153795.202
284	153703.4636
285	153635.8915
286	153598.2488
287	153537.4515
288	153453.9566
289	153362.4455
290	153333.1733
291	153226.9179
292	153137.4926
293	153068.3688
294	152992.6582
295	152926.2723
296	152836.715
297	152768.4642
298	152700.1412
299	152644.2059
300	152553.1479
301	152444.5725
302	152405.3039
303	152299.2885
304	152236.8294
305	152145.5889
306	152122.5343
307	152029.8387
308	151917.0588
309	151802.7712
310	151749.5687
311	151708.2979
312	151648.5379
313	151554.2557
314	151479.9422
315	151413.5073
316	151313.6831
317	151245.0315
318	151171.4524
319	151100.2522
320	151015.1261
321	150896.3434
322	150797.4957
323	150745.5193
324	150684.0402
325	150603.9149
326	150550.1329
327	150491.5414
328	150436.4515
329	150382.5683
330	150326.7754
331	150256.3965
332	150226.9796
333	150194.2225
334	150094.423
335	150005.5308
336	149929.187
337	149858.1258
338	149812.1856
339	149732.1835
340	149664.8488
341	149646.2894
342	149620.332
343	149512.1147
344	149412.4169
345	149337.6038
346	149250.3225
347	149170.5152
348	149098.0597
349	149054.7447
350	149021.5028
351	148973.4178
352	148871.9828
353	148837.3133
354	148773.5124
355	148724.044
356	148629.5246
357	148601.9288
358	148550.6889
359	148490.9605
360	148418.7787
361	148328.1319
362	148260.7582
363	148199.4359
364	148161.1153
365	148141.2205
366	148083.352
367	148000.8262
368	147922.1434
369	147868.7014
370	147789.6721
371	147730.1165
372	147700.0554
373	147663.3926
374	147631.0904
375	147560.5482
376	147459.8257
377	147360.4467
378	147305.7063
379	147249.7416
380	147206.8201
381	147155.86
382	147092.7138
383	147077.0871
384	146993.0355
385	146954.9806
386	146893.0126
387	146831.8141
388	146770.5554
389	146749.1713
390	146708.2599
391	146634.9137
392	146590.6466
393	146553.5816
394	146538.8286
395	146530.625
396	146474.7913
397	146417.5931
398	146362.5299
399	146325.6705
400	146244.0175
401	146212.6866
402	146161.0765
403	146125.4027
404	146076.4932
405	146002.1531
406	145947.1748
407	145891.8455
408	145865.4917
409	145838.8199
410	145779.0705
411	145751.8142
412	145685.8177
413	145607.6895
414	145557.8163
415	145538.1658
416	145470.5707
417	145441.7871
418	145396.9532
419	145343.5806
420	145264.2553
421	145174.7252
422	145137.0086
423	145097.3199
424	145044.8707
425	144978.0104
426	144936.5336
427	144888.9138
428	144815.1999
429	144769.3699
430	144740.2882
431	144669.8424
432	144589.7366
433	144542.4646
434	144488.9823
435	144426.7811
436	144379.9124
437	144316.3651
438	144237.1773
439	144222.3129
440	144171.9567
441	144123.2092
442	144062.5202
443	144030.9879
444	143990.1061
445	143950.8998
446	143898.5332
447	143870.3838
448	143847.9642
449	143748.3932
450	143688.291
451	143619.3753
452	143569.1426
453	143527.2148
454	143480.1323
455	143445.7562
456	143409.242
457	143347.0827
458	143312.4221
459	143241.4
460	143218.6496
461	143162.5403
462	143120.0214
463	143065.2118
464	143018.3912
465	142927.1333
466	142874.0988
467	142826.6885
468	142755.4939
469	142695.4448
470	142650.7692
471	142609.8007
472	142568.8493
473	142496.0929
474	142482.0798
475	142408.8515
476	142348.8143
477	142281.7785
478	142224.8153
479	142166.7838
480	142108.408
481	142065.0262
482	142034.8702
483	141986.9535
484	141935.778
485	141895.6746
486	141835.089
487	141787.3986
488	141755.74
489	141704.9318
490	141681.1278
491	141652.177
492	141596.8182
493	141569.015
494	141521.0163
495	141486.7494
496	141450.7273
497	141355.4598
498	141311.903
499	141248.6055
500	141218.8254
501	141167.082
502	141140.3507
503	141110.1658
504	141087.5799
505	141031.9258
506	140998.2097
507	140922.1127
508	140918.1448
509	140888.8348
510	140847.9396
511	140811.4307
512	140786.0609
513	140738.9732
514	140711.3689
515	140679.0593
516	140643.8001
517	140573.2488
518	140551.908
519	140515.2475
520	140488.0096
521	140440.4868
522	140409.4552
523	140389.2246
524	140335.5338
525	140289.7887
526	140243.2254
527	140216.5752
528	140145.5895
529	140095.9153
530	140038.2683
531	139983.6572
532	139912.9971
533	139867.8524
534	139830.36
535	139775.8849
536	139718.3181
537	139660.0666
538	139621.2238
539	139572.3626
540	139531.6685
541	139458.5869
542	139423.2369
543	139352.6679
544	139309.552
545	139267.3205
546	139210.5469
547	139167.163
548	139142.3232
549	139098.4098
550	139045.8784
551	138993.363
552	138941.331
553	138901.9916
554	138867.655
555	138837.3265
556	138753.2349
557	138692.9105
558	138639.7513
559	138563.3595
560	138525.6906
561	138505.702
562	138451.1399
