iter	Passed	Remaining
0	2	3068
1	3	2728
2	5	2541
3	6	2485
4	8	2421
5	9	2359
6	10	2343
7	12	2302
8	13	2265
9	15	2238
10	16	2214
11	17	2191
12	19	2175
13	20	2202
14	22	2209
15	23	2206
16	25	2201
17	26	2192
18	27	2181
19	29	2169
20	30	2159
21	31	2149
22	33	2142
23	34	2135
24	36	2133
25	37	2125
26	38	2117
27	40	2112
28	41	2106
29	42	2098
30	44	2095
31	45	2089
32	46	2085
33	48	2082
34	49	2076
35	51	2083
36	52	2078
37	53	2074
38	55	2070
39	56	2066
40	57	2063
41	59	2059
42	60	2057
43	62	2054
44	63	2052
45	64	2050
46	66	2050
47	67	2048
48	69	2046
49	70	2043
50	71	2042
51	73	2039
52	74	2036
53	76	2040
54	77	2037
55	78	2035
56	80	2033
57	81	2033
58	83	2036
59	84	2034
60	86	2032
61	87	2029
62	88	2026
63	90	2024
64	91	2022
65	92	2019
66	94	2016
67	95	2016
68	97	2018
69	98	2017
70	100	2014
71	101	2011
72	102	2009
73	104	2006
74	105	2003
75	106	1991
76	107	1989
77	109	1987
78	109	1977
79	111	1977
80	112	1977
81	114	1977
82	115	1975
83	117	1974
84	118	1971
85	119	1969
86	121	1968
87	122	1965
88	123	1964
89	125	1963
90	126	1961
91	128	1962
92	129	1960
93	130	1957
94	132	1956
95	133	1954
96	134	1952
97	136	1950
98	137	1947
99	139	1947
100	140	1948
101	142	1946
102	143	1944
103	144	1942
104	146	1940
105	147	1939
106	148	1937
107	150	1936
108	151	1934
109	152	1933
110	154	1931
111	155	1932
112	157	1930
113	158	1929
114	160	1927
115	161	1926
116	162	1924
117	164	1922
118	165	1920
119	166	1918
120	168	1916
121	169	1914
122	171	1914
123	172	1913
124	173	1911
125	175	1908
126	176	1906
127	177	1904
128	179	1902
129	180	1901
130	181	1899
131	183	1897
132	184	1896
133	186	1896
134	187	1895
135	188	1894
136	190	1892
137	191	1891
138	192	1889
139	194	1888
140	195	1886
141	197	1884
142	198	1883
143	199	1881
144	201	1879
145	202	1878
146	203	1876
147	205	1874
148	206	1873
149	207	1871
150	209	1869
151	210	1868
152	211	1866
153	213	1864
154	214	1863
155	216	1864
156	217	1863
157	219	1861
158	220	1859
159	221	1857
160	223	1856
161	224	1854
162	225	1852
163	227	1850
164	228	1849
165	229	1847
166	230	1842
167	232	1840
168	233	1839
169	234	1837
170	236	1835
171	237	1834
172	238	1832
173	239	1827
174	240	1820
175	241	1818
176	243	1817
177	244	1816
178	245	1814
179	247	1813
180	248	1812
181	250	1810
182	251	1808
183	252	1807
184	254	1805
185	255	1804
186	256	1802
187	258	1801
188	259	1799
189	260	1798
190	262	1797
191	263	1795
192	264	1794
193	266	1792
194	267	1790
195	268	1789
196	270	1787
197	271	1786
198	272	1784
199	274	1782
200	275	1781
201	277	1781
202	278	1780
203	279	1778
204	281	1777
205	282	1775
206	283	1768
207	284	1767
208	285	1765
209	287	1764
210	288	1762
211	289	1761
212	291	1759
213	292	1758
214	293	1756
215	295	1755
216	296	1753
217	297	1752
218	299	1750
219	300	1749
220	301	1747
221	303	1746
222	304	1745
223	306	1744
224	307	1743
225	308	1741
226	309	1736
227	310	1734
228	312	1733
229	313	1731
230	314	1730
231	316	1728
232	317	1727
233	318	1725
234	320	1724
235	321	1723
236	323	1721
237	324	1720
238	325	1718
239	327	1717
240	328	1715
241	329	1714
242	331	1713
243	332	1711
244	333	1710
245	335	1709
246	336	1708
247	338	1706
248	339	1705
249	339	1698
250	341	1697
251	342	1695
252	343	1694
253	345	1692
254	346	1691
255	347	1686
256	348	1685
257	349	1684
258	351	1682
259	352	1681
260	353	1679
261	355	1678
262	356	1677
263	357	1675
264	359	1674
265	360	1672
266	361	1671
267	363	1670
268	364	1669
269	366	1667
270	367	1666
271	368	1665
272	370	1664
273	371	1662
274	372	1661
275	374	1660
276	375	1658
277	377	1657
278	378	1656
279	379	1654
280	381	1653
281	382	1651
282	383	1650
283	385	1649
